temperature_k,density_kg_m3,dynamic_viscosity_pa_s,specific_heat_j_kg_k,thermal_conductivity_w_m_k,prandtl,kinematic_viscosity_m2_s,thermal_diffusivity_m2_s
280.0,825.0,0.001826,1940.0,0.1181,30.0,0.000002213,0.0000000738
320.0,803.0,0.000993,2130.0,0.1121,18.9,0.000001235,0.0000000655
360.0,775.0,0.000620,2320.0,0.1061,13.6,0.000000800,0.0000000590
400.0,746.0,0.000433,2520.0,0.1000,10.9,0.000000580,0.0000000532
440.0,714.0,0.000324,2720.0,0.0939,9.38,0.000000454,0.0000000484
